id_proceso,entidad,tipo_procedimiento,objeto,descripcion,estado,fecha_convocatoria,fecha_adjudicacion,dias_convocatoria_adjudicacion,n_postores,monto_referencial,monto_adjudicado,proveedor_adjudicado,fuente
PROC-2018-00000,Municipalidad Provincial de Arequipa,Adjudicación Simplificada,Servicio,Servicio para Arequipa — paquete 0,Adjudicado,2021-06-01,2021-06-16,15,3,454359.45,395867.36,Proveedor O42,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00001,PRONIED,Licitación Pública,Bien,Bien para PRONIED — paquete 1,Adjudicado,2019-01-07,2019-03-02,54,3,3360890.98,2903843.22,Proveedor Q48,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00002,Gobierno Regional de Cusco,Subasta Inversa Electrónica,Bien,Bien para Cusco — paquete 2,Adjudicado,2023-02-27,2023-03-09,10,5,308079.41,294656.98,Proveedor A2,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00003,Municipalidad de Trujillo,Selección de Consultores Individuales,Obra,Obra para Trujillo — paquete 3,Adjudicado,2023-11-29,2024-01-09,41,1,133037.74,121723.86,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00004,Gobierno Regional de Cusco,Contratación Directa,Bien,Bien para Cusco — paquete 4,Cancelado,2025-11-16,,,4,491395.53,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00005,Ministerio de Educación,Adjudicación Simplificada,Bien,Bien para Educación — paquete 5,Adjudicado,2019-07-26,2019-08-17,22,5,346571.92,344170.1,Proveedor G19,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00006,Ministerio de Educación,Adjudicación Simplificada,Bien,Bien para Educación — paquete 6,Adjudicado,2025-05-19,2025-06-27,39,4,188365.51,161772.64,Proveedor D10,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00007,Ministerio del Interior,Selección de Consultores Individuales,Bien,Bien para Interior — paquete 7,Adjudicado,2018-06-30,2018-08-22,53,4,125948.25,108636.85,Proveedor J27,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00008,Municipalidad de Trujillo,Adjudicación Simplificada,Bien,Bien para Trujillo — paquete 8,Nulo,2019-02-17,,,5,512575.19,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00009,Ministerio de Salud,Adjudicación Simplificada,Servicio,Servicio para Salud — paquete 9,Nulo,2022-10-14,,,1,317126.75,0.0,,MUESTRA SINTÉTICA (no es dato real)
